budgets,revenues
"
Runtime:
110 min
","
Trivia
    The official entry of the Philippines to the Best Foreign Language Film at the 85th Academy Awards 2013.        See more  »
    "
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $7,764,027, 16 May 2014
"
"
Budget:$55,000,000
            (estimated)
","
Gross USA: $43,482,270
        "
"
Gross USA: $4,500,000
        ","
Production Co:
 Twentieth Century Fox 
See more »
      
"
"
Opening Weekend: £7,493
            (United Kingdom),
14 December 1995, Limited Release
","
Gross USA: $515,905
        "
"
Opening Weekend USA: $13,750,
16 January 2000, Limited Release
","
Production Co:
 Moderne Gallerie Motion Picture, Wonderfilms 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
"
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $71,726,025
        "
"
Gross USA: $13,068, 8 January 2012
","
  Show more on
  IMDbPro »
  "
"
Budget:$10,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $24,947, 24 October 2010
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $108,865,
22 December 2002, Limited Release
","
Production Co:
 25th Hour Productions, 40 Acres & A Mule Filmworks, Gamut Films 
See more »
      
"
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $18,352,454, 23 March 2008
"
"
Budget:$27,575
            (estimated)
","
Gross USA: $3,151,130
        "
"
Opening Weekend: £1,244,892
            (United Kingdom),
23 July 2006, Limited Release
","
Gross USA: $652,526, 12 November 2006
"
"
Opening Weekend USA: $5,546,
20 April 2008, Limited Release
","
Production Co:
 Independent Media, Kino Films, Mandalay Motion Pictures 
See more »
      
"
"
Budget:$21,000,000
            (estimated)
","
Gross USA: $52,698,535
        "
"
Budget:$72,500,000
            (estimated)
","
Gross USA: $148,213,377
        "
"
Opening Weekend USA: $11,790,047,
7 October 1990
","
Cumulative Worldwide Gross: $57,968,936
        "
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $33,644,788
        "
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $115,821,495
        "
"
Gross USA: $158,932, 16 June 2013
","
  Show more on
  IMDbPro »
  "
"
Runtime:
131 min
","
Trivia
    Lakshmi manchu was the intial choice to play arundhati but could not do the project due to prior commitments.        See more  »
    "
