budgets,revenues
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $130,319,208, 6 November 2008
"
"
Budget:$3,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $29,760,613
        ","
Production Co:
 Amblin Entertainment, DreamWorks, Universal Pictures 
See more »
      
"
"
Opening Weekend USA: $4,348,165,
28 April 1991, Wide Release
","
Production Co:
 Universal Pictures, Initial Pictures, Kellgate Limited 
See more »
      
"
"
Gross USA: $200,268, 15 August 2014
","
  Show more on
  IMDbPro »
  "
"
Budget:$48,000,000
            (estimated)
","
Gross USA: $60,022,256
        "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $50,327,960
        "
"
Gross USA: $1,200,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$180,000,000
            (estimated)
","
Opening Weekend USA: $25,783,232,
9 December 2007, Wide Release
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Gross USA: $5,101,237
        ","
Production Co:
 Menageatroz, Mod Producciones, Focus Features 
See more »
      
"
"
Opening Weekend USA: $64,728,
25 July 2004, Limited Release
","
Cumulative Worldwide Gross: $1,548,955, 6 June 2013
"
"
Opening Weekend USA: $4,675,246,
23 February 2003, Wide Release
","
Production Co:
 Turner Pictures (I), Antietam Filmworks, Esparza / Katz Productions 
See more »
      
"
"
Production Co:
 StudioCanal, TF1 Films Production, Alvy Développement 
See more »
      
","
Runtime:
90 min
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $39,673,162
        "
"
Production Co:
 An Erich von Stroheim Production, Metro-Goldwyn-Mayer (MGM) 
See more »
      
","
Runtime:
137 min
"
"
Opening Weekend USA: $6,003,200,
24 April 2011, Wide Release
","
Production Co:
 Disneynature, Fothergill / Scholey Productions, Walt Disney Studios 
See more »
      
"
"
Gross USA: $64,802, 30 September 2007
","
  Show more on
  IMDbPro »
  "
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $22,331,028, 22 March 2015
"
"
Opening Weekend USA: $18,343,611,
5 January 2014, Wide Release
","
Cumulative Worldwide Gross: $90,904,854
        "
"
Gross USA: $57,777,778
        ","
Production Co:
 Twentieth Century Fox, MCL Films S.A., Walwa Films S.A. 
See more »
      
"
"
Budget:$6,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $152,647,258, 18 September 2008
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
"
"
Budget:$28,000,000
            (estimated)
","
Gross USA: $62,300,000
        "
"
Opening Weekend USA: $2,166,178,
3 October 2010, Limited Release
","
Cumulative Worldwide Gross: $54,017,644
        "
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $54,098,051
        "
"
Budget:$28,000,000
            (estimated)
","
Gross USA: $1,019,038, 19 September 2014
"
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $55,691,208
        "
"
Gross USA: $50,892,160
        ","
Production Co:
 Hawn / Sylbert Movie Company, Spring Creek Productions, Warner Bros. 
See more »
      
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $51,853,450
        "
"
Budget:$175,000,000
            (estimated)
","
Gross USA: $100,462,298
        "
"
Budget:$83,000,000
            (estimated)
","
Gross USA: $35,268,275
        "
"
Opening Weekend USA: $18,185,000,
25 May 2014, Wide Release
","
Cumulative Worldwide Gross: $127,994,610
        "
"
Opening Weekend USA: $6,129,615,
8 February 1998, Wide Release
","
Cumulative Worldwide Gross: $26,000,000
        "
"
Production Co:
 Home Box Office (HBO), Cinema Plus, Mercury/Douglas Films 
See more »
      
","
Runtime:
102 min
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $20,207,003, 18 January 2009
"
"
Opening Weekend USA: $6,101,000,
18 November 1984, Wide Release
","
Production Co:
 The Cannon Group, Golan-Globus Productions 
See more »
      
"
"
Gross USA: $24,048,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $53,022,
21 June 2015, Limited Release
","
Production Co:
 Duplass Brothers Productions, Gettin' Rad Productions 
See more »
      
"
"
Opening Weekend USA: $5,555,
21 January 2007, Limited Release
","
Production Co:
 Pin Hole Productions LLC, The Weinstein Company 
See more »
      
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $16,323,969, 20 June 2004
"
"
Opening Weekend USA: $5,571,675,
22 March 1981, Wide Release
","
Production Co:
 Twentieth Century Fox 
See more »
      
"
"
Gross USA: $712,294, 19 June 2005
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $4,063,238, 6 September 2013
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $199,657,
22 August 2010, Limited Release
","
Production Co:
 Great Scott Productions Pty. Ltd. 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$5,000,000
            (estimated)
","
Gross USA: $5,617,731, 28 September 2017
"
"
Opening Weekend USA: $17,639,849,
17 October 2008, Wide Release
","
Cumulative Worldwide Gross: $85,416,905, 3 June 2013
"
"
Gross USA: $1,490,177, 27 October 2002
","
Production Co:
 Alicia Produce, Canal+ España, Sogecine 
See more »
      
"
"
Production Co:
 AR Films, Aldamisa Entertainment, Media Talent Group 
See more »
      
","
Runtime:
122 min
"
"
Budget:$6,500,000
            (estimated)
","
Production Co:
 Filmways Pictures, Cinema 77 Films 
See more »
      
"
"
Production Co:
 Touchstone Pictures 
See more »
      
","
Runtime:
126 min
"
"
Gross USA: $141,340,178
        ","
Production Co:
 Columbia Pictures, Castle Rock Entertainment 
See more »
      
"
"
Production Co:
 Paramount Pictures 
See more »
      
","
Runtime:
96 min
"
"
Budget:$42,000,000
            (estimated)
","
Gross USA: $40,946,358
        "
"
Gross USA: $389,731
        ","
  Show more on
  IMDbPro »
  "
"
Runtime:
87 min
","
Color:
Color
"
"
Budget:$24,000,000
            (estimated)
","
Gross USA: $57,545,092
        "
"
Opening Weekend USA: $6,305,
6 June 2010, Limited Release
","
Production Co:
 Antidote Films (I), Afterhours Productions, Ghost Robot 
See more »
      
"
"
Opening Weekend USA: $16,927,589,
15 January 2006, Wide Release
","
Production Co:
 Walt Disney Pictures, Jerry Bruckheimer Films, Texas Western Productions 
See more »
      
"
"
Gross USA: $64,000,000
        ","
Production Co:
 Twentieth Century Fox 
See more »
      
"
"
Gross USA: $1,982, 6 April 2003
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $2,601,480,
6 December 1985, Wide Release
","
Production Co:
 Golan-Globus Productions, Northbrook Films 
See more »
      
"
"
Opening Weekend USA: $7,973,
15 November 2013, Limited Release
","
Production Co:
 MediaPro Pictures, Media Pro, Bona Fide Productions 
See more »
      
"
"
Opening Weekend USA: $2,903,603,
16 December 1984, Wide Release
","
Production Co:
 Zoetrope Studios, Producers Sales Organization (PSO), Totally Independent 
See more »
      
"
"
Budget:$85,000,000
            (estimated)
","
Gross USA: $126,373,434, 17 May 2012
"
"
Gross USA: $342,936, 15 November 2013
","
  Show more on
  IMDbPro »
  "
"
Budget:€8,500,000
            (estimated)
","
Gross USA: $16,909, 28 June 2015
"
"
Opening Weekend USA: $3,091,670,
19 October 1984, Limited Release
","
Production Co:
 Don Simpson/Jerry Bruckheimer Films, Paramount Pictures 
See more »
      
"
"
Budget:$120,000,000
            (estimated)
","
Gross USA: $132,556,852
        "
"
Opening Weekend USA: $1,194,175,
6 February 1983, Wide Release
","
Production Co:
 Filmplan International, Guardian Trust Company, Canadian Film Development Corporation (CFDC) 
See more »
      
"
"
Opening Weekend USA: $17,702,
15 July 1979, Limited Release
","
Production Co:
 Twentieth Century Fox 
See more »
      
"
"
Runtime:
107 min
","
Aspect Ratio: 1.85 : 1
    "
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $27,550,735, 3 April 2016
"
"
Production Co:
 Cube Vision, Dimension Films 
See more »
      
","
Runtime:
85 min
"
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $30,208,599
        "
"
Cumulative Worldwide Gross: $22,114,423
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $4,244,155, 13 May 2012
"
"
Gross USA: $23,004,026
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$54,000,000
            (estimated)
","
Gross USA: $108,185,706
        "
"
Gross USA: $4,176,932
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$70,000,000
            (estimated)
","
Gross USA: $97,690,976, 2 April 2009
"
"
Opening Weekend USA: $15,892,
24 January 2016, Limited Release
","
Production Co:
 HI Film Productions, Klas Film, Endorfilm 
See more »
      
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $176,591,618, 19 September 2010
"
"
Opening Weekend USA: $758,211,
30 November 2003, Limited Release
","
Production Co:
 Dharma Productions, Dillywood 
See more »
      
"
"
Gross USA: $21,486,757
        ","
  Show more on
  IMDbPro »
  "
"
Budget:INR 150,000,000
            (estimated)
","
Production Co:
 NH Studioz 
See more »
      
"
"
Budget:$5,000,000
            (estimated)
","
Gross USA: $17,768,757
        "
"
Opening Weekend USA: $2,704,568,
2 November 1997, Wide Release
","
Production Co:
 Pacific Western, Paramount Pictures, Rysher Entertainment 
See more »
      
"
"
Production Co:
 Five Star Films, Group Company, Sun Pictures 
See more »
      
","
Runtime:
160 min
"
"
Runtime:
76 min
","
Trivia
    Neil McDonough who plays Deadshot in this film also plays another DC villain in Arrow (2012-), Damien Darhk.        See more  »
    "
"
Opening Weekend USA: $7,010,331,
22 September 1996, Wide Release
","
Cumulative Worldwide Gross: $33,200,000
        "
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $110,825,712
        "
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $52,853,219, 25 May 2016
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $31,058,643, 5 October 1997
"
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $35,327,628
        "
"
Budget:$27,000,000
            (estimated)
","
Gross USA: $14,378,331
        "
"
Production Co:
 Balmoral Associates, First Artists 
See more »
      
","
Runtime:
97 min
"
"
Gross USA: $1,250,712
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $37,904,175
        "
"
Opening Weekend USA: $7,274,008,
12 April 1998, Wide Release
","
Cumulative Worldwide Gross: $7,600,000, 23 August 1998
"
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $15,071,514, 7 October 2007
"
"
Opening Weekend USA: $6,281,415,
8 December 2002, Wide Release
","
Production Co:
 Arenas Entertainment, Bigel / Mailer Films, Universal Pictures 
See more »
      
"
"
Production Co:
 Amblimation, Amblin Entertainment, Universal Cartoon Studios 
See more »
      
","
Sound Mix:
DTS-Stereo
| DTS
"
"
Gross USA: $767,000
        ","
Production Co:
 Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Production Co:
 CTB Film Company 
See more »
      
","
Runtime:
89 min
"
"
Production Co:
 Central Partnership, Golden Key Entertainment, MB Productions 
See more »
      
","
Runtime:
114 min
|
113 min
            (DVD)
    "
"
Gross USA: $8,153,677
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$27,800,000
            (estimated)
","
Cumulative Worldwide Gross: $70,210,000
        "
"
Budget:$45,000,000
            (estimated)
","
Gross USA: $71,308,997
        "
"
Production Co:
 CoBo Fonds, Creative Investment, De Vensche 
See more »
      
","
Runtime:
100 min
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $116,900,694
        "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $67,061,228
        "
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $28,341,469
        "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $7,597,898, 24 January 2013
"
"
Budget:$170,000,000
            (estimated)
","
Gross USA: $333,176,600
        "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $43,799,818, 4 October 2007
"
"
Opening Weekend USA: $1,707,967,
30 September 2007, Wide Release
","
Production Co:
 GreeneStreet Films, Lakeshore Entertainment, Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Opening Weekend USA: $18,682,
2 June 2017, Limited Release
","
Production Co:
 Sixteen Films, Why Not Productions, Wild Bunch 
See more »
      
"
"
Budget:$42,000,000
            (estimated)
","
Gross USA: $18,620,000
        "
"
Production Co:
 Asmik Ace Entertainment, BIM Distribuzione, Smokescreen Inc. 
See more »
      
","
Runtime:
95 min
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $13,630,226, 10 May 2009
"
"
Production Co:
 Mythos Film, Constantin Film, Claussen Wöbke Putz Filmproduktion 
See more »
      
","
Runtime:
116 min
"
"
Opening Weekend USA: $3,234,837,
2 September 1985, Wide Release
","
Production Co:
 Cannon Group, Golan-Globus Productions 
See more »
      
"
"
Runtime:
153 min
","
Trivia
        [All trivia items for this title are spoilers.]
        See more  »
    "
"
Gross USA: $49,034, 17 February 2005
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $10,718,520,
11 November 1990, Wide Release
","
Cumulative Worldwide Gross: $35,763,605
        "
"
Budget:$1,200,000
            (estimated)
","
Production Co:
 Twentieth Century Fox, Michael White Productions 
See more »
      
"
"
Production Co:
 Twentieth Century Fox 
See more »
      
","
Runtime:
106 min
"
"
Production Co:
 Paramount Pictures 
See more »
      
","
Runtime:
80 min
|
89 min
            (original)
          |
79 min
            (DVD)
    "
"
Gross USA: $15,229,325, 18 February 2007
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $16,200,000,
7 July 1996, Wide Release
","
Cumulative Worldwide Gross: $152,036,382
        "
"
Production Co:
 Universal Pictures, WingNut Films, Big Primate Pictures 
See more »
      
","
Runtime:
187 min
|
200 min
            (extended edition)
    "
"
Opening Weekend USA: $200,645,
22 September 2002, Limited Release
","
Cumulative Worldwide Gross: $355,237,933
        "
"
Production Co:
 UTV Spotboy Motion Pictures 
See more »
      
","
Runtime:
100 min
"
"
Opening Weekend USA: $4,104,611,
13 December 1987, Wide Release
","
Production Co:
 Twentieth Century Fox, American Entertainment Partners L.P., Amercent Films 
See more »
      
"
"
Opening Weekend USA: $1,575,214,
18 August 2002, Limited Release
","
Production Co:
 Focus Features, Warner Bros., Baltimore Spring Creek Productions 
See more »
      
"
"
Opening Weekend USA: $86,488,
13 April 2008, Limited Release
","
Production Co:
 Groundswell Productions, Next Wednesday Productions, Participant Media 
See more »
      
"
"
Production Co:
 Aggregate Films, Red Crown Productions, Blossom Films 
See more »
      
","
Runtime:
105 min
"
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $60,128,566
        "
"
Budget:$8,000,000
            (estimated)
","
Gross USA: $16,734,283, 26 March 2009
"
"
Budget:$135,000,000
            (estimated)
","
Opening Weekend USA: $9,705,000,
23 December 2011, Wide Release
"
"
Opening Weekend USA: $20,212,543,
3 March 2002, Wide Release
","
Cumulative Worldwide Gross: $114,660,784, 4 July 2002
"
"
Gross USA: $5,363,000, 31 December 1944
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $4,712,638,
1 May 2011, Wide Release
","
Production Co:
 Rickshaw Productions, Walt Disney Pictures 
See more »
      
"
"
Gross USA: $6,455,530
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $120,541,
16 November 1997, Limited Release
","
Cumulative Worldwide Gross: $139,804,348
        "
"
Opening Weekend USA: $3,529,675,
11 February 1979, Limited Release
","
Production Co:
 Paramount Pictures 
See more »
      
"
"
Gross USA: $1,414,017
        ","
  Show more on
  IMDbPro »
  "
"
Cumulative Worldwide Gross: $385,284,817
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $17,620,
30 May 1999, Limited Release
","
Production Co:
 CLT, Escima, HandMade Films 
See more »
      
"
"
Gross USA: $4,000,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $8,931,973,
24 November 2007, Wide Release
","
Production Co:
 Dimension Films, Darkwoods Productions, The Weinstein Company 
See more »
      
"
